"Freq [GHz]","re(S(1,1)) []","im(S(1,1)) []","re(S(2,1)) []","im(S(2,1)) []","re(S(1,2)) []","im(S(1,2)) []","re(S(2,2)) []","im(S(2,2)) []"
33.35,3.0754948645056E-05,9.72137630397689E-05,0.90943418150492,-0.415709905582777,0.909434181504918,-0.415709905582776,5.34526411870946E-05,8.68064116530027E-05
33.36,3.0817319636446E-05,9.72964824859225E-05,0.909291931280104,-0.416017902808798,0.909291931280103,-0.416017902808796,5.35348802543735E-05,8.68699679087484E-05
33.37,3.08797505175343E-05,9.73792186768143E-05,0.909149649240316,-0.416325737606771,0.909149649240314,-0.41632573760677,5.36171668242811E-05,8.6933539203228E-05
33.38,3.09422413328165E-05,9.74619715046184E-05,0.909007335351131,-0.416633410040784,0.909007335351129,-0.416633410040783,5.36995008674058E-05,8.69971254446833E-05
33.39,3.10047921267648E-05,9.75447408615011E-05,0.908864989578449,-0.416940920175635,0.908864989578448,-0.416940920175634,5.37818823543659E-05,8.70607265414243E-05
33.4,3.10674029438281E-05,9.76275266396217E-05,0.908722611888488,-0.417248268076831,0.908722611888487,-0.41724826807683,5.38643112558095E-05,8.71243424018291E-05
33.41,3.11300738284306E-05,9.77103287311319E-05,0.908580202247787,-0.417555453810581,0.908580202247786,-0.41755545381058,5.39467875424139E-05,8.71879729343441E-05
33.42,3.11928048249716E-05,9.77931470281758E-05,0.908437760623199,-0.417862477443791,0.908437760623197,-0.41786247744379,5.40293111848852E-05,8.72516180474845E-05
33.43,3.12555959778244E-05,9.787598142289E-05,0.908295286981891,-0.418169339044054,0.908295286981889,-0.418169339044052,5.41118821539571E-05,8.73152776498337E-05
33.44,3.13184473313358E-05,9.79588318074037E-05,0.908152781291342,-0.418476038679648,0.908152781291341,-0.418476038679647,5.41945004203913E-05,8.73789516500446E-05
33.45,3.13813589298258E-05,9.80416980738389E-05,0.908010243519345,-0.418782576419532,0.908010243519344,-0.418782576419531,5.42771659549768E-05,8.74426399568391E-05
33.46,3.14443308175859E-05,9.81245801143093E-05,0.907867673633997,-0.419088952333332,0.907867673633996,-0.419088952333331,5.43598787285286E-05,8.75063424790083E-05
33.47,3.15073630388799E-05,9.82074778209219E-05,0.907725071603702,-0.419395166491345,0.907725071603701,-0.419395166491343,5.44426387118883E-05,8.7570059125413E-05
33.48,3.15704556379418E-05,9.82903910857759E-05,0.907582437397172,-0.419701218964527,0.907582437397171,-0.419701218964526,5.45254458759232E-05,8.76337898049839E-05
33.49,3.16336086589761E-05,9.8373319800963E-05,0.907439770983415,-0.420007109824491,0.907439770983414,-0.42000710982449,5.46083001915256E-05,8.76975344267217E-05
33.5,3.16968221461566E-05,9.84562638585672E-05,0.907297072331747,-0.420312839143496,0.907297072331745,-0.420312839143495,5.46912016296122E-05,8.7761292899697E-05
33.51,3.17600961436259E-05,9.85392231506654E-05,0.907154341411776,-0.420618406994449,0.907154341411775,-0.420618406994448,5.47741501611244E-05,8.78250651330512E-05
33.52,3.18234306954951E-05,9.8622197569327E-05,0.90701157819341,-0.420923813450894,0.907011578193409,-0.420923813450893,5.48571457570272E-05,8.78888510359963E-05
33.53,3.18868258458423E-05,9.87051870066138E-05,0.906868782646853,-0.421229058587006,0.906868782646852,-0.421229058587005,5.49401883883085E-05,8.7952650517815E-05
33.54,3.19502816387129E-05,9.878819135458E-05,0.906725954742599,-0.421534142477591,0.906725954742597,-0.42153414247759,5.50232780259794E-05,8.80164634878613E-05
33.55,3.20137981181182E-05,9.88712105052729E-05,0.906583094451435,-0.421839065198075,0.906583094451434,-0.421839065198074,5.51064146410729E-05,8.80802898555602E-05
33.56,3.20773753280354E-05,9.8954244350732E-05,0.906440201744436,-0.4221438268245,0.906440201744435,-0.422143826824499,5.51895982046445E-05,8.81441295304086E-05
33.57,3.2141013312406E-05,9.90372927829896E-05,0.906297276592966,-0.422448427433522,0.906297276592965,-0.422448427433521,5.52728286877704E-05,8.82079824219749E-05
33.58,3.22047121151363E-05,9.91203556940707E-05,0.906154318968674,-0.422752867102398,0.906154318968673,-0.422752867102397,5.5356106061548E-05,8.82718484398994E-05
33.59,3.22684717800959E-05,9.92034329759929E-05,0.906011328843492,-0.423057145908992,0.90601132884349,-0.423057145908991,5.54394302970954E-05,8.83357274938949E-05
33.6,3.23322923511174E-05,9.92865245207665E-05,0.905868306189633,-0.423361263931759,0.905868306189632,-0.423361263931758,5.55228013655505E-05,8.83996194937462E-05
33.61,3.23961738719961E-05,9.93696302203948E-05,0.905725250979593,-0.423665221249745,0.905725250979592,-0.423665221249744,5.56062192380708E-05,8.84635243493112E-05
33.62,3.24601163864882E-05,9.94527499668737E-05,0.905582163186144,-0.42396901794258,0.905582163186143,-0.423969017942579,5.56896838858329E-05,8.85274419705202E-05
33.63,3.25241199383117E-05,9.95358836521921E-05,0.905439042782337,-0.424272654090478,0.905439042782335,-0.424272654090477,5.57731952800325E-05,8.85913722673769E-05
33.64,3.25881845711446E-05,9.96190311683316E-05,0.905295889741493,-0.424576129774223,0.905295889741492,-0.424576129774222,5.58567533918829E-05,8.86553151499582E-05
33.65,3.26523103286248E-05,9.97021924072668E-05,0.905152704037212,-0.424879445075171,0.905152704037211,-0.42487944507517,5.59403581926159E-05,8.87192705284145E-05
33.66,3.27164972543493E-05,9.97853672609654E-05,0.905009485643361,-0.425182600075241,0.90500948564336,-0.42518260007524,5.60240096534802E-05,8.87832383129701E-05
33.67,3.27807453918737E-05,9.98685556213881E-05,0.904866234534077,-0.425485594856914,0.904866234534076,-0.425485594856913,5.6107707745742E-05,8.88472184139232E-05
33.68,3.28450547847115E-05,9.99517573804887E-05,0.904722950683768,-0.425788429503224,0.904722950683767,-0.425788429503223,5.61914524406835E-05,8.89112107416464E-05
33.69,3.29094254763333E-05,0.000100034972430214,0.904579634067104,-0.426091104097753,0.904579634067103,-0.426091104097751,5.62752437096034E-05,8.89752152065864E-05
33.7,3.29738575101666E-05,0.000100118200662504,0.904436284659022,-0.426393618724631,0.90443628465902,-0.42639361872463,5.63590815238161E-05,8.90392317192649E-05
33.71,3.30383509295948E-05,0.000100201441969292,0.904292902434719,-0.426695973468525,0.904292902434718,-0.426695973468524,5.6442965854651E-05,8.91032601902786E-05
33.72,3.31029057779568E-05,0.000100284696242504,0.904149487369657,-0.42699816841464,0.904149487369656,-0.426998168414639,5.65268966734529E-05,8.9167300530299E-05
33.73,3.31675220985462E-05,0.000100367963374062,0.904006039439554,-0.427300203648708,0.904006039439552,-0.427300203648707,5.66108739515806E-05,8.92313526500732E-05
33.74,3.32321999346109E-05,0.000100451243255878,0.903862558620386,-0.427602079256989,0.903862558620384,-0.427602079256988,5.66948976604074E-05,8.92954164604243E-05
33.75,3.32969393293523E-05,0.000100534535779859,0.903719044888385,-0.427903795326261,0.903719044888384,-0.42790379532626,5.67789677713198E-05,8.93594918722506E-05
33.76,3.33617403259251E-05,0.000100617840837906,0.90357549822004,-0.42820535194382,0.903575498220039,-0.428205351943819,5.68630842557181E-05,8.9423578796527E-05
33.77,3.34266029674359E-05,0.000100701158321913,0.903431918592089,-0.428506749197473,0.903431918592088,-0.428506749197472,5.69472470850152E-05,8.94876771443046E-05
33.78,3.34915272969433E-05,0.000100784488123768,0.903288305981522,-0.428807987175532,0.903288305981521,-0.428807987175531,5.70314562306364E-05,8.95517868267111E-05
33.79,3.35565133574572E-05,0.000100867830135353,0.90314466036558,-0.429109065966813,0.903144660365579,-0.429109065966812,5.71157116640194E-05,8.9615907754951E-05
33.8,3.36215611919379E-05,0.000100951184248544,0.903000981721749,-0.429409985660627,0.903000981721748,-0.429409985660626,5.72000133566133E-05,8.9680039840306E-05
33.81,3.36866708432958E-05,0.000101034550355211,0.902857270027765,-0.429710746346781,0.902857270027763,-0.42971074634678,5.72843612798789E-05,8.97441829941351E-05
33.82,3.37518423543907E-05,0.000101117928347216,0.902713525261603,-0.430011348115568,0.902713525261603,-0.430011348115567,5.73687554052876E-05,8.98083371278747E-05
33.83,3.38170757680311E-05,0.000101201318116419,0.902569747401488,-0.430311791057764,0.902569747401487,-0.430311791057763,5.74531957043215E-05,8.98725021530391E-05
33.84,3.38823711269738E-05,0.000101284719554671,0.90242593642588,-0.430612075264626,0.902425936425879,-0.430612075264625,5.75376821484729E-05,8.99366779812207E-05
33.85,3.39477284739232E-05,0.000101368132553819,0.902282092313483,-0.430912200827886,0.902282092313482,-0.430912200827885,5.76222147092441E-05,9.00008645240902E-05
33.86,3.40131478515308E-05,0.000101451557005704,0.902138215043236,-0.431212167839745,0.902138215043235,-0.431212167839744,5.77067933581465E-05,9.00650616933969E-05
33.87,3.40786293023944E-05,0.000101534992802161,0.901994304594319,-0.431511976392872,0.901994304594318,-0.431511976392871,5.77914180667011E-05,9.01292694009688E-05
33.88,3.41441728690581E-05,0.000101618439835021,0.901850360946142,-0.431811626580395,0.901850360946141,-0.431811626580394,5.7876088806437E-05,9.0193487558713E-05
33.89,3.42097785940106E-05,0.000101701897996108,0.901706384078353,-0.432111118495901,0.901706384078352,-0.4321111184959,5.79608055488922E-05,9.02577160786157E-05
