"Freq [GHz]","re(S(1,1)) []","im(S(1,1)) []","re(S(2,1)) []","im(S(2,1)) []","re(S(1,2)) []","im(S(1,2)) []","re(S(2,2)) []","im(S(2,2)) []"
33.51,-0.394878593322096,-0.276837425942845,0.503324031775836,-0.715781377962485,0.503324031775835,-0.715781377962485,-0.394893852132712,-0.276815715318358
33.52,-0.394859223487163,-0.276682245724521,0.503181363649888,-0.715950506256404,0.503181363649887,-0.715950506256404,-0.394874490286837,-0.276660513582194
33.53,-0.394840064759656,-0.276527129205708,0.503038437462115,-0.716119603061497,0.503038437462113,-0.716119603061497,-0.394855339529828,-0.276505375528111
33.54,-0.39482111641472,-0.276372076428611,0.502895253831455,-0.716288668028987,0.502895253831454,-0.716288668028987,-0.394836399136899,-0.276350301198296
33.55,-0.394802377729838,-0.276217087434124,0.502751813375141,-0.716457700811848,0.502751813375139,-0.716457700811849,-0.3948176683856,-0.276195290633628
33.56,-0.394783847984822,-0.276062162261848,0.502608116708702,-0.716626701064808,0.5026081167087,-0.716626701064808,-0.39479914655581,-0.27604034387369
33.57,-0.394765526461798,-0.275907300950093,0.502464164445974,-0.716795668444331,0.502464164445973,-0.716795668444331,-0.394780832929726,-0.27588546095678
33.58,-0.394747412445208,-0.275752503535891,0.502319957199108,-0.716964602608618,0.502319957199107,-0.716964602608617,-0.394762726791853,-0.275730641919912
33.59,-0.394729505221791,-0.275597770055004,0.502175495578573,-0.717133503217595,0.502175495578572,-0.717133503217595,-0.394744827428999,-0.275575886798834
33.6,-0.394711804080579,-0.275443100541933,0.502030780193162,-0.717302369932906,0.502030780193161,-0.717302369932906,-0.394727134130264,-0.275421195628032
33.61,-0.394694308312887,-0.275288495029928,0.501885811650005,-0.717471202417908,0.501885811650004,-0.717471202417908,-0.394709646187028,-0.27526656844074
33.62,-0.394677017212305,-0.275133953550995,0.501740590554569,-0.717640000337661,0.501740590554568,-0.717640000337661,-0.394692362892947,-0.275112005268952
33.63,-0.394659930074688,-0.274979476135907,0.501595117510667,-0.717808763358922,0.501595117510666,-0.717808763358921,-0.394675283543944,-0.274957506143424
33.64,-0.394643046198149,-0.274825062814212,0.501449393120466,-0.717977491150136,0.501449393120465,-0.717977491150136,-0.394658407438197,-0.27480307109369
33.65,-0.394626364883047,-0.27467071361424,0.501303417984489,-0.718146183381433,0.501303417984489,-0.718146183381433,-0.394641733876131,-0.274648700148066
33.66,-0.394609885431984,-0.274516428563114,0.501157192701629,-0.718314839724614,0.501157192701628,-0.718314839724614,-0.394625262160412,-0.274494393333663
33.67,-0.394593607149791,-0.274362207686759,0.501010717869145,-0.718483459853152,0.501010717869144,-0.718483459853152,-0.394608991595936,-0.274340150676389
33.68,-0.39457752934352,-0.274208051009907,0.500863994082679,-0.718652043442176,0.500863994082678,-0.718652043442176,-0.394592921489822,-0.274185972200964
33.69,-0.394561651322441,-0.274053958556111,0.500717021936254,-0.718820590168473,0.500717021936253,-0.718820590168473,-0.394577051151403,-0.274031857930928
33.7,-0.394545972398025,-0.273899930347748,0.500569802022286,-0.718989099710473,0.500569802022285,-0.718989099710473,-0.394561379892215,-0.273877807888643
33.71,-0.394530491883943,-0.27374596640603,0.500422334931587,-0.719157571748247,0.500422334931586,-0.719157571748246,-0.394545907025994,-0.27372382209531
33.72,-0.394515209096055,-0.273592066751015,0.500274621253372,-0.719326005963498,0.500274621253371,-0.719326005963498,-0.394530631868661,-0.273569900570971
33.73,-0.394500123352399,-0.273438231401609,0.500126661575263,-0.719494402039555,0.500126661575262,-0.719494402039555,-0.394515553738321,-0.273416043334522
